emp_no,first_name,last_name,dept_name
428594,Breannda,Aamodt,Sales
275120,Jaideep,Aamodt,Sales
36585,Menkae,Aamodt,Sales
265157,Narain,Aamodt,Sales
280448,Theron,Aamodt,Sales
429297,Becky,Acton,Sales
213271,Djenana,Acton,Sales
88629,Mayuko,Acton,Sales
413496,Naftaly,Acton,Sales
73542,Shigehito,Acton,Sales
408216,Shridhar,Acton,Sales
223389,Shuho,Adachi,Sales
413629,Kasturi,Aingworth,Sales
11441,Marlo,Aingworth,Sales
259313,Masadi,Aingworth,Sales
99481,Arnd,Akaboshi,Sales
238797,Filipp,Akaboshi,Sales
456657,Frederique,Akaboshi,Sales
18664,Itzchak,Akaboshi,Sales
423907,Sanjit,Akaboshi,Sales
283289,Yechezkel,Akaboshi,Sales
226896,Yurij,Akaboshi,Sales
206847,Luise,Akazan,Sales
30425,Rimli,Akazan,Sales
240587,Zorica,Akazan,Sales
57325,Hidde,Akiyama,Sales
232686,Kazuhiko,Akiyama,Sales
243435,Moriyoshi,Akiyama,Sales
65131,Shakhar,Akiyama,Sales
79509,Vitaly,Akiyama,Sales
213801,Aruna,Alameldin,Sales
427783,Gennady,Alameldin,Sales
403285,Geoff,Alameldin,Sales
20836,Jingling,Alameldin,Sales
75370,Kwee,Alameldin,Sales
45390,Sedat,Alameldin,Sales
109334,Tsutomu,Alameldin,Sales
45552,Aloys,Albarhamtoshy,Sales
462231,Anneke,Albarhamtoshy,Sales
496077,Anyuan,Albarhamtoshy,Sales
59413,Huei,Albarhamtoshy,Sales
66961,Lech,Albarhamtoshy,Sales
233966,Shimshon,Albarhamtoshy,Sales
261569,Thodoros,Albarhamtoshy,Sales
31533,Trygve,Albarhamtoshy,Sales
99495,Tayeb,Alblas,Sales
206053,Tsuneo,Alblas,Sales
245790,Yongmao,Alblas,Sales
28487,Ziva,Alblas,Sales
62900,Gio,Alencar,Sales
53418,Hiroyasu,Alencar,Sales
257953,Kwangyoen,Alencar,Sales
227910,Saniya,Alencar,Sales
97666,Spyrose,Alencar,Sales
271867,Chenye,Aloia,Sales
416018,Fen,Aloia,Sales
36874,Genki,Aloia,Sales
222836,Ishfaq,Aloia,Sales
471529,Munir,Aloia,Sales
221882,Sahrah,Aloia,Sales
456007,Souichi,Aloia,Sales
298130,Vugranam,Aloia,Sales
228246,Bartek,Aloisi,Sales
30209,Yannis,Aloisi,Sales
102410,Boalin,Alpay,Sales
414666,Fai,Alpay,Sales
21135,KayLiang,Alpay,Sales
405888,Leucio,Alpay,Sales
102870,Marsal,Alpay,Sales
465547,Bernice,Alpin,Sales
45514,Jessie,Alpin,Sales
464942,Shiv,Alpin,Sales
418000,Yuichiro,Alpin,Sales
490447,Demin,Alvarado,Sales
80801,Bluma,Ambroszkiewicz,Sales
287624,Francesca,Ambroszkiewicz,Sales
98173,Irena,Ambroszkiewicz,Sales
499671,Jayesh,Ambroszkiewicz,Sales
477251,Jayson,Ambroszkiewicz,Sales
98128,Kazuhisa,Ambroszkiewicz,Sales
76142,Nikolaos,Ambroszkiewicz,Sales
416924,Vishwani,Ambroszkiewicz,Sales
479867,Akemi,Anandan,Sales
291385,Khun,Anandan,Sales
412012,Mara,Anandan,Sales
30655,Xuedong,Anandan,Sales
291124,Yucai,Anandan,Sales
446367,Achilleas,Ananiadou,Sales
431078,Adib,Ananiadou,Sales
108375,Greger,Ananiadou,Sales
415157,Insup,Ananiadou,Sales
217561,Kiyotoshi,Ananiadou,Sales
450937,Mahendra,Ananiadou,Sales
255168,Ziva,Ananiadou,Sales
272400,Nishit,Andreotta,Sales
53464,Odoardo,Andreotta,Sales
403959,Aleksander,Androutsos,Sales
422470,Arvin,Androutsos,Sales
464242,Gen,Androutsos,Sales
417830,Geoff,Androutsos,Sales
443557,Ute,Androutsos,Sales
455461,Adam,Angel,Sales
442133,Bernd,Angel,Sales
37087,Claudi,Angel,Sales
271980,Shigenori,Angel,Sales
225307,Shiv,Angel,Sales
43222,Lenore,Angelopoulos,Sales
230691,Mantis,Angelopoulos,Sales
17986,Oguz,Angelopoulos,Sales
486562,Radoslaw,Angelopoulos,Sales
230008,Sajjan,Angelopoulos,Sales
215123,Sangeeta,Angelopoulos,Sales
496326,Xuejun,Angelopoulos,Sales
265903,Abdelkader,Angelov,Sales
53868,Jixiang,Angelov,Sales
62449,Jixiang,Angelov,Sales
89480,Palash,Angelov,Sales
27814,Shigenori,Angelov,Sales
473113,Toshimitsu,Angelov,Sales
24153,Lidong,Anger,Sales
31425,Mohammad,Anger,Sales
24429,Murthy,Anger,Sales
459158,Naftali,Anger,Sales
215576,Takushi,Anger,Sales
484981,Toshiko,Anger,Sales
425220,Xiadong,Anger,Sales
80198,Yefim,Anger,Sales
458525,Amstein,Angiulli,Sales
267128,Kaijung,Angiulli,Sales
212482,Lubomir,Angiulli,Sales
203171,Marla,Angiulli,Sales
454081,Paddy,Angiulli,Sales
60270,Souichi,Angiulli,Sales
80665,Angel,Angot,Sales
491213,Shaowei,Angot,Sales
419469,Subhankar,Angot,Sales
290835,Susuma,Angot,Sales
227440,Zine,Angot,Sales
410255,Somnath,Anguita,Sales
81717,Toney,Anguita,Sales
438944,Florian,Anick,Sales
416487,Marsja,Anick,Sales
97221,Martina,Anick,Sales
406587,Xuejia,Anick,Sales
270856,Claudi,Anido,Sales
18454,Eric,Anido,Sales
280955,Mona,Anido,Sales
15601,Carrsten,Anily,Sales
51165,Kazuyasu,Anily,Sales
69050,Nidapan,Anily,Sales
89381,Paraskevi,Anily,Sales
93329,Shirish,Anily,Sales
287947,Wanqing,Anily,Sales
457801,Abdulla,Antonakopoulos,Sales
406752,Masaru,Antonakopoulos,Sales
285934,Zhilian,Antonakopoulos,Sales
448063,Ayonca,Antonisse,Sales
405199,Gou,Antonisse,Sales
404686,Kyoichi,Antonisse,Sales
39971,Odoardo,Antonisse,Sales
433488,Wayne,Antonisse,Sales
499337,Werner,Antonisse,Sales
87534,Golgen,Apsitis,Sales
203395,Leaf,Apsitis,Sales
31224,Uta,Apsitis,Sales
421796,Yakkov,Apsitis,Sales
470494,Fabrizio,Argence,Sales
236925,Leaf,Argence,Sales
408324,Shigehito,Argence,Sales
203595,Aria,Ariola,Sales
229578,Bernt,Ariola,Sales
56350,Boguslaw,Ariola,Sales
83768,Mark,Ariola,Sales
460033,Paris,Ariola,Sales
34241,Remco,Ariola,Sales
20708,Aemilian,Arlazarov,Sales
55049,Chenyi,Arlazarov,Sales
493761,Giap,Arlazarov,Sales
219102,Xiaoheng,Arlazarov,Sales
292458,Akeno,Armand,Sales
440366,Babette,Armand,Sales
246904,Carrsten,Armand,Sales
35659,Gro,Armand,Sales
442977,Marlo,Armand,Sales
250499,Arif,Aseltine,Sales
16373,Narain,Aseltine,Sales
65392,Poorav,Aseltine,Sales
14275,Tristan,Aseltine,Sales
277235,Ayakannu,Ashish,Sales
22873,Ebbe,Ashish,Sales
103776,Franziska,Ashish,Sales
466701,Frederique,Ashish,Sales
218201,Harjit,Ashish,Sales
270130,Kayoko,Ashish,Sales
208766,Masadi,Ashish,Sales
261365,Feiyu,Asmuth,Sales
266849,Gill,Asmuth,Sales
287013,Heng,Asmuth,Sales
249265,Hitomi,Asmuth,Sales
209492,Mabo,Asmuth,Sales
413184,Moon,Asmuth,Sales
254206,Tamiya,Asmuth,Sales
289032,Danny,Asrin,Sales
269157,Leaf,Asrin,Sales
437236,Remmert,Asrin,Sales
68880,Elvis,Assaf,Sales
274625,Fatemeh,Assaf,Sales
421251,Fumitaka,Assaf,Sales
480711,Srinidhi,Assaf,Sales
417940,Uri,Assaf,Sales
49310,Yechiam,Assaf,Sales
87851,Aloys,Asser,Sales
486225,Rosita,Asser,Sales
212780,Yuchang,Asser,Sales
10924,Hironoby,Atchley,Sales
448394,Parke,Atchley,Sales
471422,Teunis,Atchley,Sales
439675,Yuuichi,Atchley,Sales
421224,Ebru,Atrawala,Sales
265681,Marsal,Atrawala,Sales
32001,Mari,Attimonelli,Sales
444934,Oddvar,Attimonelli,Sales
479543,Dmitri,Aumann,Sales
24177,Van,Aumann,Sales
468902,Zhonghua,Aumann,Sales
262216,Ennio,Auria,Sales
428478,Gay,Auria,Sales
233652,Hatim,Auria,Sales
64796,Xiadong,Auria,Sales
267138,Alair,Auyong,Sales
218228,Francesca,Auyong,Sales
468173,Martins,Auyong,Sales
290360,Rosita,Auyong,Sales
460229,Aimee,Avouris,Sales
45269,Arve,Avouris,Sales
70675,Edwin,Avouris,Sales
79714,Kiam,Avouris,Sales
226325,Leni,Avouris,Sales
468291,Mohit,Avouris,Sales
280010,Arnould,Awdeh,Sales
47593,Christfried,Awdeh,Sales
72794,Kazuhisa,Awdeh,Sales
276455,Remko,Awdeh,Sales
435166,Shahid,Awdeh,Sales
11009,Alper,Axelband,Sales
276766,Mircea,Axelband,Sales
73387,Noritoshi,Axelband,Sales
401714,Tamiya,Axelband,Sales
93928,Tomoyuki,Axelband,Sales
38204,Jianwen,Azadmanesh,Sales
53426,Masadi,Azadmanesh,Sales
470478,Masaru,Azadmanesh,Sales
433938,Venkatesan,Azadmanesh,Sales
285514,Bikash,Azevdeo,Sales
44924,Divier,Azevdeo,Sales
475641,Girolamo,Azevdeo,Sales
277473,Petter,Azevdeo,Sales
460660,Pranav,Azevdeo,Sales
286562,Reuven,Azevdeo,Sales
492641,Mori,Azulay,Sales
464681,Oldrich,Azulay,Sales
460655,Alenka,Azuma,Sales
15566,Baoqiu,Azuma,Sales
423592,Chenxi,Azuma,Sales
92323,Florina,Azuma,Sales
235271,Gregory,Azuma,Sales
76247,Mads,Azuma,Sales
248706,Panayotis,Azuma,Sales
407398,Uwe,Azuma,Sales
474921,Aimee,Baak,Sales
421775,Gretta,Baak,Sales
57521,Janalee,Baak,Sales
88975,Miomir,Baak,Sales
496773,Shaunak,Baak,Sales
46587,Macha,Baaleh,Sales
439896,Yahiko,Baaleh,Sales
452553,Jagoda,Baalen,Sales
414482,Maya,Baalen,Sales
268207,Nigel,Baalen,Sales
53257,Rosalie,Baalen,Sales
62137,Rosalyn,Baalen,Sales
448436,Yannis,Baalen,Sales
22609,Zvonko,Baalen,Sales
449955,Abdelkader,Baar,Sales
248859,Arvind,Baar,Sales
205332,Gita,Baar,Sales
93430,Golgen,Baar,Sales
418125,Khun,Baar,Sales
491074,Kien,Baar,Sales
461144,Marla,Baar,Sales
404302,Miomir,Baar,Sales
467946,Randi,Baar,Sales
473703,Steve,Baar,Sales
75840,Unal,Baar,Sales
251603,Yunming,Baar,Sales
215101,Mark,Baaz,Sales
214085,Saeed,Baaz,Sales
411858,Weiye,Baaz,Sales
89425,Chandrasekaran,Baba,Sales
60611,Feixiong,Baba,Sales
108536,Fumino,Baba,Sales
464657,Martine,Baba,Sales
498356,Patricia,Baba,Sales
13405,Randy,Baba,Sales
16233,Sushant,Baba,Sales
21994,Lech,Babb,Sales
434766,Basim,Babu,Sales
99643,Beshir,Babu,Sales
230378,Brigham,Babu,Sales
49920,Dekang,Babu,Sales
50522,Hongzhu,Babu,Sales
74965,Owen,Babu,Sales
436501,Demin,Baby,Sales
400881,Suebskul,Baby,Sales
242821,Vojin,Baby,Sales
261226,Zhaofang,Baby,Sales
288776,Akeno,Baca,Sales
238053,Lein,Baca,Sales
232679,Lijie,Baca,Sales
488877,Magy,Baca,Sales
459347,Martijn,Baca,Sales
238964,Zorica,Baca,Sales
